file_name,flight_time(seconds),altitude(m),zSpeed_avg,zSpeed_sd,speed_avg,speed_sd,power_avg,power_sd,power_intensity,tilt_avg,tilt_sd,turbulence_intensity
Jan09.12-39_30m,26.0,30,0.005999455938697318,0.060171128107409155,0.005999455938697318,0.03620872947098336,35.56077135249043,1.4582490835861701,0.04094966293068482,6.459809034773893,2.337533502960386,0.3590786596770847
Jan09.12-39_50m,25.0,50,-0.010780433734939759,0.06574387938717666,0.032341301204819276,0.09292357875943721,43.14039985943776,2.486430933164474,0.057569064913881585,10.919477516635679,1.511325097067249,0.13777548609541887
Jan09.12-41_10m,25.0,10,0.0008603615384615385,0.013872912959599203,0.037339690769230764,0.08869201969362712,39.39849037307692,2.9717927736216843,0.07533349807600989,5.924099340020232,1.1647861296201647,0.1949726750972005
Jan09.12-41_30m,24.0,30,0.0009243553719008267,0.04778158681294304,0.004621776859504132,0.03188579916589715,39.71928035537189,2.153787006256822,0.05415705255440702,9.617329670874916,1.0103340321338534,0.10451014566904862
Jan09.12-41_50m,25.0,50,0.0017895519999999998,0.02829530155654822,0.017000743999999998,0.05939740177087704,40.181146968,2.262857624446302,0.056246410927488284,9.595722124424391,0.9946831097326535,0.10312168408977583
Jan09.12-44_10m,24.0,10,0.0,0.0,0.02047368813559322,0.06823006526969436,38.17928758898306,2.207419924708607,0.05774159195539764,4.370623117812003,1.187051130202727,0.2685257481959377
Jan09.12-44_30m,23.0,30,0.012270135021097046,0.062268530170342964,0.018877130801687764,0.06231161761420515,36.85806197890296,2.6674785950332507,0.07227360235164908,7.088839995532607,1.2377678818151305,0.17338501529516134
Jan09.12-44_50m,25.0,50,0.003607967741935484,0.0448642456767603,0.014251472580645163,0.05677892587550639,35.06765569758065,1.6891078826863843,0.048098537591242226,5.2147433982725095,0.6483548784678709,0.12315032840548543
Jan09.8-06_10m,27.0,10,0.0,0.0,0.014577811235955055,0.05626066088606021,37.222385119850195,1.2979669447881754,0.03482382306939933,1.866180433216928,0.31088007328637535,0.16223945714990037
Jan09.8-06_30m,24.0,30,0.0028435677966101693,0.025113254086740155,0.007582847457627118,0.04056736689017619,35.931487932203375,1.2196042195931955,0.03389532478176512,5.005215724342563,0.9220801424978325,0.1824017396641862
Jan09.8-06_50m,24.0,50,0.0,0.0,0.0,0.0,35.99569005857741,2.092152611852223,0.05804168566206644,5.935779854662951,0.32705514759718574,0.0546386862761764
Jan09.8-08_10m,25.0,10,0.023778496062992125,0.06908313333894797,0.0,0.0,36.21064618110237,0.9190540797790179,0.02534577225096427,2.367708505095948,0.6327833442229174,0.2617285511835535
Jan09.8-08_30m,24.0,30,0.0,0.0,0.025061153526970952,0.07070155440568827,36.41902834854771,1.0767235889095623,0.029524328935197425,3.866255134785539,0.5137653772695165,0.13118792305079258
Jan09.8-08_50m,23.0,50,0.0,0.0,0.0,0.0,36.14300719148935,1.3804785863821567,0.03814213555337759,5.434997006988551,0.3662571751637551,0.06677436189976022
Jan09.8-11_10m,24.0,10,0.0,0.0,0.0,0.0,37.15555763559322,1.457362423115214,0.03917055718904231,2.726162831649278,0.6379039706921181,0.22977901851425217
Jan09.8-11_30m,24.0,30,0.013865330578512396,0.054050123335926376,0.0,0.0,36.01956208264463,1.9720893012956717,0.054674611706599284,4.541149441060286,0.6585749246366481,0.14344445396326633
Jan09.8-11_50m,24.0,50,0.0,0.0,0.0,0.0,35.674027797413785,0.7313525177053918,0.02047228609978681,5.8134187439100415,0.4778002528075123,0.08148833874499803
Jan09.8-13_10m,24.0,10,0.005523308641975308,0.034785104618049435,0.0018411028806584362,0.02025195878052415,36.210812074074084,2.2232652306946075,0.06131316712248173,2.500673279660291,0.7320633554852045,0.2870078897688942
Jan09.8-13_30m,24.0,30,0.0,0.0,0.0,0.0,35.58693375431034,0.5856491214518089,0.01643376855846847,5.01954564878876,0.4362644621519834,0.0860559293427445
Jan09.8-13_50m,26.0,50,0.0,0.0,0.0,0.0,35.595435343750005,0.9951245352008578,0.027917306258270762,5.272120119644038,0.4530760126478288,0.0851307378380126
Jan11.3-29_10m,27.0,10,-0.0008409548872180451,0.013715559140675,0.015978142857142854,0.057718609144141994,36.84049037593985,1.7037467475185994,0.04618390078733654,5.760893505882103,1.2299259061799297,0.21165865540900583
Jan11.3-29_30m,28.0,30,0.021382514705882347,0.07628274616581111,0.03454098529411765,0.09167386892764015,35.10335143382353,2.8755944278837355,0.08180143032157447,9.488088911567717,1.9015801501549099,0.19936699770628985
